,Jugador,Posición,Derribos,Derribos completados,Regateadores tackleados,Bloqueos,Disparos bloqueados,Pases bloqueados,Jug. tackleados + intercepciones,Despejes
253,Diego Iturralde,DF,0,0,0,1,1,0,0,2
254,Adnan Januzaj,"FW,MF",3,3,0,2,0,2,4,0
255,Mikel Jauregizar,MF,0,0,0,5,0,5,0,2
256,Luis Javier Suárez,FW,7,5,2,11,0,11,7,13
257,Salim El Jebari,MF,1,0,0,0,0,0,1,1
258,Frenkie de Jong,MF,43,26,8,18,8,10,57,28
259,Joan Jordán,MF,8,7,7,4,2,2,12,2
260,Jordi,"MF,DF",16,11,7,7,2,5,24,7
261,Jeremy Jorge,FW,0,0,0,0,0,0,0,0
262,Willian José,FW,7,3,2,8,2,6,9,15
263,Joselu,FW,6,3,0,11,1,10,12,11
264,Kamil Jóźwiak,MF,13,10,9,4,0,4,15,6
265,Juanmi,FW,9,4,2,6,0,6,15,3
266,Juanpe,DF,11,8,9,17,11,6,18,50
267,Vinicius Júnior,FW,18,13,3,13,0,13,19,3
268,Filip Jørgensen,GK,3,1,3,0,0,0,5,10
269,Sory Kaba,FW,2,0,0,6,0,6,2,9
270,Kaiky,DF,7,4,3,9,7,2,10,29
271,Jon Karrikaburu,"MF,FW",0,0,0,0,0,0,0,0
272,Ibrahima Kebe,MF,1,1,0,1,0,1,2,0
273,Kiké,"FW,MF",8,4,4,16,5,11,9,12
274,Koke,MF,66,44,36,37,12,25,82,34
275,Ibrahima Koné,FW,1,0,1,1,0,1,1,4
276,Rominigue Kouamé,MF,14,9,7,10,2,8,27,10
277,Jules Koundé,DF,37,23,28,32,12,20,62,83
278,Toni Kroos,MF,53,34,24,22,4,18,70,11
279,Takefusa Kubo,"FW,MF",26,17,9,21,2,19,37,8
280,Luca de la Torre,MF,39,21,22,23,4,19,51,17
281,Yoel Lago,DF,2,0,0,1,0,1,2,2
282,Érik Lamela,"FW,MF",21,14,10,12,0,12,22,5
283,Bruno Langa,DF,17,12,6,11,4,7,21,33
284,Cyle Larin,FW,17,8,2,16,5,11,20,17
285,Juanmi Latasa,FW,9,7,1,9,0,9,13,21
286,Toni Lato,DF,38,23,16,17,3,14,55,27
287,Lázaro,"FW,MF",4,1,2,4,0,4,5,1
288,Robin Le Normand,DF,31,22,17,26,15,11,59,96
289,Jeremías Ledesma,GK,1,1,1,0,0,0,1,15
290,Florian Lejeune,DF,39,25,19,33,18,15,62,155
291,Stefan Lekovic,DF,0,0,0,1,1,0,0,1
292,Iñigo Lekue,DF,40,22,27,24,6,18,55,50
293,Thomas Lemar,MF,3,1,1,0,0,0,3,0
294,Álvaro Lemos,DF,4,1,0,3,1,2,6,4
295,Ruben Lendinez,DF,2,2,1,0,0,0,2,1
296,Robert Lewandowski,FW,8,5,4,13,4,9,17,18
297,Samuel Lino,"DF,MF",61,34,35,37,1,36,75,27
298,Javier Llabrés,"MF,FW",3,1,1,1,0,1,6,4
299,Marcos Llorente,"MF,DF",40,23,16,36,11,25,54,35
300,Enzo Loiodice,MF,62,35,20,20,2,18,74,16
301,David López,DF,33,20,17,28,19,9,53,63
302,Diego López,"MF,FW",37,25,13,23,1,22,57,12
303,Fermin López,"MF,FW",41,21,14,14,1,13,45,9
304,Javi López,DF,23,12,15,25,9,16,33,77
305,Unai López,MF,48,24,21,24,3,21,64,15
306,Dion Lopy,MF,62,37,17,23,5,18,77,22
307,Anthony Lozano,"MF,FW",0,0,0,0,0,0,0,1
308,Anthony Lozano,FW,7,5,4,6,1,5,9,12
309,Lucas,DF,47,27,32,27,4,23,64,45
310,José Luis Gayà,DF,71,36,43,18,3,15,82,42
311,José Luis Morales,"FW,MF",5,3,3,9,1,8,12,4
312,Dodi Lukebakio,"FW,MF",5,2,1,9,2,7,7,5
313,Andriy Lunin,GK,0,0,0,0,0,0,0,15
314,Darwin Machís,MF,23,14,13,8,1,7,27,2
315,Pablo Maffeo,DF,35,22,23,12,2,10,45,23
316,Jon Magunacelaya,"FW,MF",5,3,4,3,0,3,5,2
317,Nemanja Maksimović,MF,65,43,23,56,23,33,111,61
318,Giorgi Mamardashvili,GK,4,3,4,1,0,1,6,22
319,Wilson Manafá,"DF,MF",6,4,4,1,0,1,7,4
320,Reinildo Mandava,DF,30,22,19,10,2,8,45,21
321,Aïssa Mandi,DF,13,8,7,10,7,3,21,41
322,Javier Manquillo,"DF,MF",15,11,8,14,3,11,18,17
323,Faitout Maouassa,"DF,MF",8,5,4,6,0,6,9,3
324,Marcão,DF,9,6,6,8,6,2,13,11
325,Óscar de Marcos,DF,56,39,42,28,6,22,71,44
326,Alberto Marí,FW,4,2,1,3,0,3,4,5
327,José Mari,"MF,FW",2,1,1,0,0,0,2,0
328,José María Giménez,DF,18,10,5,16,12,4,28,95
329,Mariano,"FW,MF",1,1,0,1,0,1,1,2
330,Rafa Marín,DF,32,20,14,34,21,13,65,129
331,Diego Mariño,GK,0,0,0,0,0,0,0,1
332,Mika Màrmol,DF,70,42,35,39,19,20,114,147
333,Unai Marrero,GK,0,0,0,0,0,0,0,0
334,Roger Martí,FW,12,6,2,16,1,15,19,4
335,Iván Martín,MF,44,25,22,25,3,22,65,14
336,Jon Martin,DF,0,0,0,0,0,0,0,3
337,Mario Martín,MF,5,1,3,2,1,1,5,0
338,Arnau Martinez,DF,25,16,15,15,5,10,35,41
339,Iñigo Martínez,DF,10,7,6,13,10,3,21,50
340,Marc Martínez,GK,0,0,0,0,0,0,0,1
341,Marvin,"FW,DF",39,25,18,28,2,26,53,18
342,Omar Mascarell,MF,33,16,18,24,8,16,64,30
343,Jaime Mata,"FW,MF",24,15,11,18,1,17,41,31
344,Luís Maximiano,GK,0,0,0,0,0,0,0,19
345,Borja Mayoral,FW,9,5,5,7,0,7,13,16
346,Mamadou Mbaye,DF,6,3,2,10,7,3,11,26
347,Hannibal Mejbri,MF,3,3,0,1,0,1,3,0
348,Óscar Melendo,"MF,FW",14,6,4,13,0,13,19,4
349,Gonzalo Melero,"MF,FW",14,8,7,12,4,8,18,11
350,Memphis,FW,5,2,3,2,0,2,6,0
351,Houboulang Mendes,DF,16,13,8,4,2,2,17,17
352,Tomás Mendes,MF,0,0,0,0,0,0,0,0
353,Brais Méndez,"MF,FW",42,28,15,23,4,19,54,21
354,Bruno Méndez,DF,36,17,21,24,6,18,62,45
355,Diego Méndez,MF,1,1,1,0,0,0,2,0
356,Ferland Mendy,DF,15,10,11,12,2,10,28,26
357,Jorge Meré,DF,8,7,4,5,3,2,16,33
358,Mikel Merino,MF,77,43,22,36,11,25,93,55
359,Omenuke Mfulu,"MF,FW",4,3,0,1,1,0,6,5
360,Miguel,"FW,MF",0,0,0,2,0,2,0,0
361,Éder Militão,DF,7,3,6,4,3,1,11,19
362,Luis Milla,MF,57,33,28,20,1,19,89,10
363,Marko Milovanović,"FW,MF",4,4,2,2,0,2,4,5
364,Óscar Mingueza,"DF,MF",62,38,37,38,7,31,79,49
365,Ignasi Miquel,DF,47,30,23,32,16,16,92,132
366,Rafa Mir,"FW,MF",2,2,1,2,0,2,3,1
367,Juan Miranda,DF,38,24,17,31,6,25,57,62
368,Stefan Mitrović,DF,9,3,4,3,2,1,15,26
369,Luka Modrić,MF,22,15,9,13,4,9,43,9
370,Johan Mojica,DF,30,22,16,15,2,13,51,40
371,Alberto Moleiro,"FW,MF",15,6,6,11,0,11,22,10
372,Nahuel Molina,DF,38,22,26,19,3,16,47,36
373,Jon Moncayola,MF,27,18,17,31,5,26,42,21
374,César Montes,DF,22,13,9,21,9,12,33,94
375,Álvaro Morata,FW,16,10,3,18,3,15,17,26
376,Alberto Moreno,DF,31,21,10,12,2,10,55,33
377,Gerard Moreno,FW,25,12,11,24,7,17,34,24
378,Jorge Moreno,DF,0,0,0,1,0,1,0,3
379,Ilaix Moriba,"MF,FW",20,11,4,3,1,2,24,10
380,Manu Morlanes,MF,50,29,23,13,1,12,70,21
381,Cristhian Mosquera,DF,57,34,25,42,23,19,93,137
382,Yerson Mosquera,DF,27,13,12,12,2,10,44,65
