,Jugador,Posición,Pelotas recuperadas,% Duelos aéreos ganados
425,Pascu,FW,1,0.0
426,Gabriel Paulista,DF,19,68.4
427,Gabriel Paulista,DF,70,60.4
428,Nicolás Paz,"MF,FW",2,100.0
429,Alfonso Pedraza,DF,54,42.9
430,Pedri,"MF,FW",82,37.5
431,Adrià Pedrosa,DF,102,32.3
432,Facundo Pellistri,"MF,FW",57,29.0
433,Iñaki Peña,GK,12,100.0
434,Marcos Peña,MF,26,42.9
435,Rubén Peña,"DF,FW",134,25.0
436,Alberto Perea,"MF,FW",1,0
437,Ayoze Pérez,FW,121,37.0
438,Carles Pérez,"MF,DF",45,23.5
439,Francisco Perez,"MF,FW",109,24.0
440,Kike Pérez,"MF,FW",57,29.7
441,Máximo Perrone,MF,113,17.6
442,Njegoš Petrović,"MF,FW",11,66.7
443,Germán Pezzella,DF,148,68.3
444,Kamil Piątkowski,DF,23,52.4
445,Yeremi Pino,"MF,FW",29,44.4
446,Portu,FW,4,25.0
447,Portu,"MF,FW",37,26.9
448,José Pozo,MF,0,0.0
449,Alejandro Pozo Pozo,"DF,MF",50,35.7
450,Beñat Prados,"MF,DF",102,48.3
451,Abdón Prats,"FW,MF",30,39.4
452,Pubill,DF,93,55.6
453,Antonio Puertas,"MF,FW",30,36.1
454,Arnau Puigmal,"FW,DF",16,25.0
455,Nemanja Radonjić,"MF,DF",13,75.0
456,Aleksandar Radovanović,DF,13,60.9
457,Abdellah Raihani,FW,0,0
458,Antonio Raillo,DF,107,67.6
459,Predrag Rajković,GK,42,71.4
460,Ivan Rakitić,MF,117,48.0
461,Largie Ramazani,"FW,MF",81,16.7
462,Benito Ramírez,"FW,MF",22,15.4
463,Sandro Ramírez,FW,60,38.9
464,Chris Ramos,"FW,MF",60,51.2
465,Sergio Ramos,DF,143,66.1
466,Raphinha,"FW,MF",74,64.3
467,Andrei Ratiu,"DF,MF",39,46.2
468,Raúl,FW,28,42.0
469,Abderrahman Rebbach,"FW,MF",31,35.0
470,Pepe Reina,GK,0,100.0
471,Álex Remiro,GK,60,100.0
472,Chadi Riad,DF,110,53.7
473,Diego Rico,DF,164,59.2
474,Luis Rioja,"FW,MF",128,30.3
475,Rodrigo Riquelme,"DF,MF",98,23.8
476,Alberto Risco,MF,3,0.0
477,Mihailo Ristić,"DF,MF",67,56.3
478,Gorka Rivera Alonso,DF,0,0
479,Sergi Roberto,"MF,DF",44,52.2
480,Lucas Robertone,MF,163,56.7
481,Marc Roca,MF,147,29.0
482,Sergio Rodelas,"FW,DF",7,0.0
483,Rodri,"FW,MF",58,0.0
484,Óscar Rodríguez Arnaiz,"MF,FW",48,27.0
485,Damián Rodríguez,MF,8,0.0
486,Dani Rodríguez,MF,151,31.5
487,Guido Rodríguez,MF,155,58.8
488,Kirian Rodríguez,MF,231,32.4
489,Miguel Rodríguez,MF,9,11.1
490,Rodrygo,FW,61,19.2
491,Carlos Romero,DF,27,33.3
492,Luka Romero,FW,22,25.0
493,Oriol Romeu,MF,62,42.4
494,Unai Ropero,MF,0,0
495,Vitor Roque,FW,8,33.3
496,Antonio Rüdiger,DF,124,68.1
497,Javier Rueda Garcia,"MF,DF",2,0
498,Aitor Ruibal,"DF,FW",78,30.8
499,Sergio Ruiz,MF,177,51.6
500,Youssouf Sabaly,DF,63,43.5
501,Umar Sadiq,FW,34,36.3
502,Pablo Saenz,MF,3,0
503,Kike Salas,DF,81,62.3
504,Salvi,MF,1,0
505,Diadie Samassékou,MF,6,60.0
506,Fede San Emeterio,MF,5,42.9
507,Oihan Sancet,MF,107,57.1
508,Ricard Sánchez,DF,97,51.4
509,Antonio Sánchez,MF,115,26.9
510,Juanlu Sánchez,DF,67,48.3
511,Manu Sánchez,"DF,MF",95,30.0
512,Jesús Santiago,MF,29,46.2
513,Paco Sanz,DF,0,100.0
514,Stefan Savić,DF,77,59.0
515,Sávio,"FW,MF",171,23.5
516,Manuel Sebastián,MF,6,0.0
517,Aleksandar Sedlar,DF,49,48.6
518,André Silva,FW,22,40.0
519,Rui Silva,GK,41,76.9
520,Giuliano Simeone,FW,37,16.7
521,Unai Simón,GK,58,90.9
522,Daley Sinkgraven,DF,17,83.3
523,Jailson Siqueira,"DF,MF",61,40.5
524,Antonio Sivera,GK,23,87.5
525,Rubén Sobrino,"MF,FW",112,50.0
526,Alex Sola,"FW,MF",79,47.1
527,Alex Sola,"DF,MF",2,100.0
528,Jhon Solis,MF,22,33.3
529,David Soria,GK,52,100.0
530,Alberto Soro,MF,0,0.0
531,Hugo Sotelo,MF,52,22.2
532,Boubakary Soumaré,MF,148,64.5
533,Djibril Sow,MF,73,43.8
534,Çağlar Söyüncü,DF,9,100.0
535,Carl Starfelt,DF,129,67.3
536,Jørgen Strand Larsen,FW,88,47.1
537,Cristhian Stuani,FW,13,52.1
538,Álex Suárez,DF,98,50.0
539,Damián Suárez,DF,77,50.0
540,Denis Suárez,"MF,FW",8,0.0
541,Suso,"MF,FW",88,47.1
542,Max Svensson,FW,0,0
543,Williot Swedberg,"FW,MF",18,50.0
544,Mamadou Sylla,"FW,MF",1,50.0
