,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
267,Vinicius Júnior,20.7,1,1,137,57,277,0.72,0.24,0.92
268,Filip Jørgensen,36.0,0,0,0,0,0,0.00,0.00,0.00
269,Sory Kaba,8.0,0,0,7,12,36,0.12,0.12,0.25
270,Kaiky,5.8,0,0,4,24,1,0.17,0.00,0.17
271,Jon Karrikaburu,0.2,0,0,0,0,1,0.00,0.00,0.00
272,Ibrahima Kebe,0.1,0,0,0,0,1,0.00,0.00,0.00
273,Kiké,15.8,0,1,18,32,97,0.19,0.13,0.32
274,Koke,27.7,0,0,26,212,26,0.00,0.14,0.14
275,Ibrahima Koné,3.1,0,0,5,3,18,0.00,0.00,0.00
276,Rominigue Kouamé,9.1,0,0,16,34,5,0.00,0.00,0.00
277,Jules Koundé,32.2,0,0,67,245,64,0.03,0.06,0.09
278,Toni Kroos,23.6,0,0,32,290,29,0.04,0.34,0.38
279,Takefusa Kubo,23.9,0,0,136,89,231,0.29,0.17,0.46
280,Luca de la Torre,21.7,0,0,58,93,88,0.05,0.18,0.23
281,Yoel Lago,1.0,0,0,0,2,0,0.00,0.00,0.00
282,Érik Lamela,5.1,0,0,11,17,28,0.39,0.00,0.39
283,Bruno Langa,9.1,0,0,14,25,30,0.11,0.00,0.11
284,Cyle Larin,20.3,0,0,20,13,103,0.15,0.10,0.25
285,Juanmi Latasa,17.3,0,0,7,16,82,0.12,0.00,0.12
286,Toni Lato,17.2,0,0,30,39,110,0.00,0.06,0.06
287,Lázaro,3.2,0,0,5,6,34,0.00,0.00,0.00
288,Robin Le Normand,27.4,0,0,21,106,1,0.07,0.00,0.07
289,Jeremías Ledesma,33.9,0,0,0,0,0,0.00,0.00,0.00
290,Florian Lejeune,37.0,0,0,15,114,4,0.08,0.03,0.11
291,Stefan Lekovic,0.3,0,0,0,0,0,0.00,0.00,0.00
292,Iñigo Lekue,22.2,0,0,44,119,35,0.00,0.09,0.09
293,Thomas Lemar,1.8,0,0,5,13,9,0.00,0.00,0.00
294,Álvaro Lemos,2.8,0,0,6,17,8,0.00,0.00,0.00
295,Ruben Lendinez,0.1,0,0,0,0,3,0.00,0.00,0.00
296,Robert Lewandowski,30.6,4,4,43,64,168,0.62,0.26,0.75
297,Samuel Lino,23.1,0,0,131,84,215,0.17,0.22,0.39
298,Javier Llabrés,2.7,0,0,9,5,30,0.36,0.00,0.36
299,Marcos Llorente,28.5,0,0,71,106,179,0.21,0.14,0.35
300,Enzo Loiodice,19.9,0,0,27,97,72,0.00,0.05,0.05
301,David López,21.8,0,0,15,54,1,0.14,0.00,0.14
302,Diego López,29.5,0,0,75,73,180,0.10,0.20,0.30
303,Fermin López,16.1,0,0,42,76,93,0.50,0.00,0.50
304,Javi López,26.5,0,0,53,92,120,0.04,0.11,0.15
305,Unai López,23.4,0,0,32,116,59,0.04,0.09,0.13
306,Dion Lopy,21.3,0,0,23,90,19,0.00,0.00,0.00
307,Anthony Lozano,1.0,0,0,0,1,6,0.00,0.00,0.00
308,Anthony Lozano,8.6,0,0,12,16,24,0.35,0.00,0.35
309,Lucas,17.1,0,0,30,47,65,0.06,0.00,0.06
310,José Luis Gayà,19.9,0,0,41,72,97,0.05,0.10,0.15
311,José Luis Morales,11.6,0,0,29,17,79,0.60,0.00,0.60
312,Dodi Lukebakio,12.5,0,0,48,26,116,0.40,0.08,0.48
313,Andriy Lunin,21.0,0,0,0,0,0,0.00,0.00,0.00
314,Darwin Machís,8.7,1,1,20,15,54,0.46,0.00,0.34
