,Jugador,Posición,% Regates completados
333,Unai Marrero,GK,0
334,Roger Martí,FW,30.0
335,Iván Martín,MF,66.1
336,Jon Martin,DF,0
337,Mario Martín,MF,0
338,Arnau Martinez,DF,42.9
339,Iñigo Martínez,DF,0.0
340,Marc Martínez,GK,0
341,Marvin,"FW,DF",40.4
342,Omar Mascarell,MF,80.0
343,Jaime Mata,"FW,MF",53.3
344,Luís Maximiano,GK,100.0
345,Borja Mayoral,FW,41.9
346,Mamadou Mbaye,DF,0
347,Hannibal Mejbri,MF,60.0
348,Óscar Melendo,"MF,FW",47.8
349,Gonzalo Melero,"MF,FW",38.9
350,Memphis,FW,48.6
351,Houboulang Mendes,DF,28.6
352,Tomás Mendes,MF,0
353,Brais Méndez,"MF,FW",40.7
354,Bruno Méndez,DF,85.7
355,Diego Méndez,MF,0
356,Ferland Mendy,DF,46.4
357,Jorge Meré,DF,100.0
358,Mikel Merino,MF,58.5
359,Omenuke Mfulu,"MF,FW",100.0
360,Miguel,"FW,MF",0
361,Éder Militão,DF,0.0
362,Luis Milla,MF,32.4
363,Marko Milovanović,"FW,MF",25.0
364,Óscar Mingueza,"DF,MF",46.2
365,Ignasi Miquel,DF,50.0
366,Rafa Mir,"FW,MF",33.3
367,Juan Miranda,DF,36.8
368,Stefan Mitrović,DF,50.0
369,Luka Modrić,MF,46.7
370,Johan Mojica,DF,37.8
371,Alberto Moleiro,"FW,MF",49.1
372,Nahuel Molina,DF,55.2
373,Jon Moncayola,MF,50.0
374,César Montes,DF,100.0
375,Álvaro Morata,FW,47.2
376,Alberto Moreno,DF,50.0
377,Gerard Moreno,FW,51.2
378,Jorge Moreno,DF,0
379,Ilaix Moriba,"MF,FW",28.6
380,Manu Morlanes,MF,72.4
381,Cristhian Mosquera,DF,85.7
382,Yerson Mosquera,DF,40.0
383,Abdul Mumin,DF,50.0
384,Iker Muniain,"MF,FW",41.9
385,Aihen Muñoz,DF,52.6
386,Álvaro Muñoz,FW,100.0
387,Iker Muñoz,MF,26.3
388,Javier Muñoz,MF,40.0
389,Vedat Muriqi,FW,48.1
390,Nacho,DF,33.3
391,Matija Nastasić,DF,0
392,Roberto Navarro,"MF,FW",46.6
393,Jesús Navas,DF,65.0
394,Álvaro Negredo,"FW,MF",100.0
395,Carlos Neva,DF,36.8
396,Tanguy Nianzou,DF,100.0
397,Saúl Ñíguez,MF,53.3
398,Peru Nolaskoain,"DF,MF",0
399,Randy Nteka,"FW,MF",41.2
400,Unai Núñez,DF,83.3
401,Ørjan Nyland,GK,0
402,Jan Oblak,GK,100.0
403,Brian Ocampo,"MF,FW",50.0
404,Lucas Ocampos,"FW,MF",36.9
405,Álvaro Odriozola,DF,22.2
406,Aingeru Olabarrieta,FW,0
407,Olasagasti,MF,70.0
408,Samuel Omorodion,FW,38.6
409,Samuel Omorodion,FW,0
410,Aimar Oroz,MF,50.0
411,Eneko Ortiz,DF,0
412,Asier Osambela,MF,0
413,Milutin Osmajić,MF,0
414,Aiham Ousou,DF,100.0
415,Jesús Owono,GK,0
416,Mikel Oyarzabal,"FW,MF",34.5
417,Cenk Özkacar,DF,37.5
418,Jon Pacheco,DF,100.0
419,Isaac Palazón Camacho,"MF,FW",40.2
420,Joaquín Panichelli,"FW,MF",0.0
421,Sokratis Papastathopoulos,DF,0.0
422,Victor Parada,"FW,MF",0
423,Aitor Paredes,DF,66.7
424,Daniel Parejo,MF,63.3
