,Jugador,Posición,PPP del eq. cuando jugaba,Goles a favor (+) o en contra(-) del eq. cuando jugaba
237,Raúl García,"FW,MF",1.80,+1.07
238,Rubén García,"FW,MF",1.00,-0.47
239,Santiago García,FW,0.00,0.00
240,Unai García,DF,0.90,-0.96
241,Aleix Garrido,MF,0,0
242,Carles Garrido,FW,0,0
243,Federico Gattoni,"DF,FW",0.00,-9.00
244,Gavi,"MF,FW",2.25,+1.05
245,Paulo Gazzaniga,GK,2.13,+1.03
246,David Gil,GK,0.60,-1.21
247,Sergio Gimeno,DF,0,0
248,Aitor Gismera,MF,0,0
249,Maxi Gómez,FW,0.81,-1.16
250,Moi Gómez,"MF,FW",1.14,-0.18
251,Papu Gómez,"FW,MF",0,0
252,Unai Gómez,MF,1.92,+0.62
253,Antonio Gomis,GK,0,0
254,Édgar González,"DF,MF",0.58,-0.96
255,Fabio González,MF,0.83,+0.73
256,Fran González,DF,0,0
257,Giovanni González,DF,1.06,-0.29
258,Hugo González,"MF,FW",1.22,0.00
259,Iñaki González,MF,3.00,0.00
260,Mario González,MF,0,0
261,Peter González,"MF,FW",0.93,-0.83
262,Urko González,MF,1.40,0.00
263,Andoni Gorosabel,DF,1.25,-0.22
264,Ale Gorrin,GK,0,0
265,Pablo Gozalbez,"MF,FW",2.00,0.00
266,Ivo Grbić,GK,0,0
267,Mason Greenwood,"MF,FW",1.18,-0.20
268,Dominik Greif,GK,1.00,0.00
269,Antoine Griezmann,"FW,MF",2.00,+0.65
270,Vicente Guaita,GK,1.15,-0.26
271,Andrés Guardado,MF,1.58,+0.20
272,Sergi Guardiola,"FW,MF",0.73,-0.18
273,Nemanja Gudelj,"DF,MF",1.05,+0.26
274,Gonçalo Guedes,"FW,MF",1.82,+0.76
275,Gui Guedes,MF,0,0
276,Javier Guerra,MF,1.25,-0.22
277,Daniel Guerrero,MF,0,0
278,Ander Guevara,MF,1.24,-0.31
279,Hugo Guillamón,MF,1.50,-0.27
280,Marc Guiu,"FW,MF",2.33,+1.22
281,Arda Güler,"FW,MF",2.60,+2.15
282,Gerard Gumbau,MF,0.51,-1.18
283,İlkay Gündoğan,MF,2.19,+0.84
284,Jon Guridi,MF,1.28,-0.07
285,Gorka Guruzeta,FW,1.78,+0.93
286,Miguel Gutiérrez,DF,2.14,+1.01
287,Munir El Haddadi,FW,1.05,-0.22
288,Ianis Hagi,"MF,FW",0.82,-1.01
289,Luiz Henrique,FW,1.64,-0.29
290,Mario Hermoso,DF,1.94,+0.74
291,Javi Hernández,DF,1.00,-0.68
292,Aridane Hernández,DF,1.11,-0.48
293,Luis Hernández,DF,1.00,-0.87
294,Unai Hernandez,MF,0,0
295,Yarek Hernandis,DF,1.00,-0.61
296,Jorge Herrando,DF,1.05,-0.27
297,Alejandro Herranz,DF,0,0
298,Ander Herrera,MF,1.78,+0.61
299,Cristian Herrera,"FW,MF",1.88,-0.54
300,Sergio Herrera,GK,1.34,-0.19
301,Yangel Herrera,MF,2.31,+1.15
302,Juan Herzog,DF,1.50,+0.31
303,Martin Hongla,"MF,DF",0.69,-1.76
304,Xabier Huarte Armendáriz,MF,0.00,0.00
305,Pablo Ibáñez,MF,1.18,-0.08
306,Stanis Idumbo,MF,0,0
307,Iglesias,"DF,FW",1.29,-0.38
308,Borja Iglesias,FW,1.45,+0.22
309,Imanol,DF,1.56,+0.51
310,Bruno Iribarne,GK,0,0
311,Isco,MF,1.55,+0.12
312,Diego Iturralde,DF,3.00,0.00
313,Adnan Januzaj,"FW,MF",0.75,-0.93
314,Mikel Jauregizar,MF,2.71,+1.19
315,Luis Javier Suárez,FW,0.73,-0.69
316,Salim El Jebari,MF,0.00,0.00
317,Pere Joan,GK,0,0
318,John Joe,MF,0,0
319,Frenkie de Jong,MF,2.05,+0.88
320,Joan Jordán,MF,0.89,-2.37
321,Jordi,"MF,DF",1.23,+0.63
322,Jeremy Jorge,FW,0.00,0.00
323,Willian José,FW,1.52,-0.14
324,Joseda,DF,0,0
325,Joselu,FW,2.50,+2.19
326,Kamil Jóźwiak,MF,0.82,-0.16
327,Juanmi,FW,1.06,-0.82
328,Juanpe,DF,1.94,-0.60
329,Vinicius Júnior,FW,2.62,+1.74
330,Filip Jørgensen,GK,1.36,-0.11
331,Sory Kaba,FW,1.06,-1.00
332,Kaiky,DF,0.38,-1.38
333,Jon Karrikaburu,"MF,FW",0.00,-5.63
334,Jon Karrikaburu,FW,0,0
335,Ibrahima Kebe,MF,2.00,0.00
336,Kiké,"FW,MF",1.24,+0.25
337,Álvaro Killane,GK,0,0
338,Diego Kochen,GK,0,0
339,Koke,MF,2.06,+0.65
340,Ibrahima Koné,FW,0.67,-1.95
341,Ilias Kostis,DF,0,0
342,Rominigue Kouamé,MF,0.81,-0.33
343,Jules Koundé,DF,2.31,+0.96
344,Toni Kroos,MF,2.48,+1.44
345,Takefusa Kubo,"FW,MF",1.53,+0.33
346,Luca de la Torre,MF,1.03,-0.55
347,Yoel Lago,DF,1.00,0.00
348,Érik Lamela,"FW,MF",1.31,+0.58
349,Bruno Langa,DF,1.00,0.00
350,Cyle Larin,FW,1.00,-0.05
351,Juanmi Latasa,FW,1.06,-0.17
352,Toni Lato,DF,1.00,-0.23
353,Lázaro,"FW,MF",0.21,-2.84
354,Robin Le Normand,DF,1.59,+0.26
355,Jeremías Ledesma,GK,0.88,-0.71
356,Florian Lejeune,DF,1.00,-0.51
357,Stefan Lekovic,DF,3.00,0.00
358,Iñigo Lekue,DF,1.89,+0.49
359,Thomas Lemar,MF,1.33,-0.55
360,Álvaro Lemos,DF,1.25,0.00
361,Ruben Lendinez,DF,1.00,0.00
362,Robert Lewandowski,FW,2.23,+1.05
363,Yuzún Ley,DF,0,0
