,Jugador,País,Posición,Equipo,Competición,Edad
218,Andrés Guardado,MEX,MF,Betis,La Liga,36
219,Sergi Guardiola,ESP,"FW,MF",Cádiz,La Liga,32
220,Nemanja Gudelj,SRB,"DF,MF",Sevilla,La Liga,31
221,Gonçalo Guedes,POR,"FW,MF",Villarreal,La Liga,26
222,Javier Guerra,ESP,MF,Valencia,La Liga,20
223,Ander Guevara,ESP,MF,Alavés,La Liga,26
224,Hugo Guillamón,ESP,MF,Valencia,La Liga,23
225,Marc Guiu,ESP,"FW,MF",Barcelona,La Liga,17
226,Arda Güler,TUR,"FW,MF",Real Madrid,La Liga,18
227,Gerard Gumbau,ESP,MF,Granada,La Liga,28
228,İlkay Gündoğan,GER,MF,Barcelona,La Liga,32
229,Jon Guridi,ESP,MF,Alavés,La Liga,28
230,Gorka Guruzeta,ESP,FW,Athletic Club,La Liga,26
231,Miguel Gutiérrez,ESP,DF,Girona,La Liga,22
232,Munir El Haddadi,MAR,FW,Las Palmas,La Liga,27
233,Ianis Hagi,ROU,"MF,FW",Alavés,La Liga,24
234,Luiz Henrique,BRA,FW,Betis,La Liga,22
235,Mario Hermoso,ESP,DF,Atlético Madrid,La Liga,28
236,Javi Hernández,ESP,DF,Cádiz,La Liga,25
237,Aridane Hernández,ESP,DF,Rayo Vallecano,La Liga,34
238,Luis Hernández,ESP,DF,Cádiz,La Liga,34
239,Yarek Hernandis,ESP,DF,Valencia,La Liga,18
240,Jorge Herrando,ESP,DF,Osasuna,La Liga,22
241,Ander Herrera,ESP,MF,Athletic Club,La Liga,33
242,Cristian Herrera,ESP,"FW,MF",Las Palmas,La Liga,32
243,Sergio Herrera,ESP,GK,Osasuna,La Liga,30
244,Yangel Herrera,VEN,MF,Girona,La Liga,25
245,Juan Herzog,ESP,DF,Las Palmas,La Liga,20
246,Martin Hongla,CMR,"MF,DF",Granada,La Liga,25
247,Xabier Huarte Armendáriz,ESP,MF,Osasuna,La Liga,22
248,Pablo Ibáñez,ESP,MF,Osasuna,La Liga,24
249,Iglesias,ESP,"DF,FW",Getafe,La Liga,25
250,Borja Iglesias,ESP,FW,Betis,La Liga,30
251,Imanol,ESP,DF,Athletic Club,La Liga,23
252,Isco,ESP,MF,Betis,La Liga,31
253,Diego Iturralde,ESP,DF,Sevilla,La Liga,20
254,Adnan Januzaj,BEL,"FW,MF",Sevilla,La Liga,28
255,Mikel Jauregizar,ESP,MF,Athletic Club,La Liga,19
256,Luis Javier Suárez,COL,FW,Almería,La Liga,25
257,Salim El Jebari,MAR,MF,Atlético Madrid,La Liga,19
